SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
104,Abhijit Mukherjee,JANGIPUR,INC,0,Graduate Professional,"Rs 14,33,50,474","Rs 3,04,21,037, "
105,Abhijit Saha,BOLPUR,INC,0,Graduate,"Rs 41,95,922","Rs 1,13,600, "
106,Abhijit Vamanrao Awade-Bichukle,SANGLI,IND,,Graduate,"Rs 4,41,102","Rs 0, "
107,Abhijit Wamanrao -Bichukale,SATARA,IND,,Graduate,"Rs 3,24,408","Rs 0, "
108,Abhimanyu Singh Patel,ALLAHABAD,Pragatishil Samajwadi Party (Lohia),0,Graduate Professional,"Rs 68,19,643","Rs 24,672, "
109,Abhimanyu Singh Sunny,AZAMGARH,Suheldev Bhartiya Samaj Party,0,Post Graduate,"Rs 4,46,300","Rs 0, "
110,Abhiram Priyadarshi,KARAKAT,IND,0,10th Pass,"Rs 5,35,000","Rs 0, "
111,Abhishek Banerjee,DIAMOND HARBOUR,AITC,0,Graduate,"Rs 1,37,94,320","Rs 0, "
112,Abhishek Bilhore,BALAGHAT,Bhartiya Shakti Chetna Party,0,Graduate,"Rs 20,06,750","Rs 0, "
113,Abhishek Chand,GORAKHPUR,Suheldev Bhartiya Samaj Party,0,Post Graduate,"Rs 5,45,000","Rs 0, "
114,Abhishek Kumar,SIWAN,IND,0,Post Graduate,"Rs 50,82,500","Rs 0, "
115,Abhishek Kumar Singh,ASANSOL,SHS,0,Post Graduate,"Rs 88,89,200","Rs 69,96,000, "
116,Abhishek Priyadarshi,BHAGALPUR,IND,0,12th Pass,"Rs 97,09,948","Rs 40,70,000, "
117,Abinashi Mundu,KHUNTI,Hum Bhartiya Party,0,Graduate,"Rs 11,30,569","Rs 0, "
118,Abirami P,VILUPPURAM,Tamil Nadu Ilangyar Katchi,,Graduate,"Rs 8,94,700","Rs 2,00,000, "
119,Abu Hasem Khan Chowdhury,MALDAHA DAKSHIN,INC,0,Doctorate,"Rs 27,09,59,520","Rs 7,28,107, "
120,"Abu Hena, S/O - Late Abdus Sattar",MURSHIDABAD,INC,0,Post Graduate,"Rs 80,21,988","Rs 0, "
121,"Abu Hena, S/O - Sazzad Ali",MURSHIDABAD,IND,0,12th Pass,"Rs 7,25,512","Rs 0, "
122,Abu Taher Bepari,DHUBRI,INC,,Post Graduate,"Rs 3,73,95,652","Rs 22,10,543, "
123,Abu Taher Khan,MURSHIDABAD,AITC,,8th Pass,"Rs 89,26,616","Rs 13,50,000, "
