SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
92,Chhatar Singh Darbar,DHAR,BJP,1,Post Graduate,"Rs 2,31,98,238","Rs 24,71,613, "
93,Chikhalikar Pratap Govindrao,NANDED,BJP,,12th Pass,"Rs 5,21,78,606","Rs 5,94,000, "
94,Chinraj A.K.P,NAMAKKAL,DMK,,Graduate,"Rs 48,52,05,173","Rs 1,86,42,484, "
95,Chinta Anuradha,AMALAPURAM,YSRCP,,Graduate,"Rs 8,59,93,362","Rs 24,31,407, "
96,Chirag Kumar Paswan,JAMUI,LJP,1,Graduate Professional,"Rs 1,84,66,066","Rs 0, "
97,Choudhary Mahbub Ali Kaisar,KHAGARIA,LJP,1,Graduate,"Rs 10,97,88,313","Rs 0, "
98,Choudhury Mohan Jatua,MATHURAPUR,AITC,,Post Graduate,"Rs 1,06,67,304","Rs 0, "
99,Chudasama Rajeshbhai Naranbhai,JUNAGADH,BJP,1,12th Pass,"Rs 1,08,66,041","Rs 14,81,768, "
100,Chunni Lal Sahu,MAHASAMUND,BJP,,Graduate,"Rs 1,75,91,683","Rs 13,83,014, "
101,Col. Rajyavardhan Rathore,JAIPUR RURAL,BJP,,Graduate,"Rs 12,78,08,070","Rs 0, "
102,Cosme Francisco Caitano Sardinha,SOUTH GOA,INC,,Graduate Professional,"Rs 7,94,02,232","Rs 0, "
103,D.K. Suresh,BANGALORE RURAL,INC,5,12th Pass,"Rs 3,38,89,20,717","Rs 51,93,20,305, "
104,D.V. Sadananda Gowda,BANGALORE NORTH,BJP,,Graduate Professional,"Rs 20,93,84,539","Rs 10,43,02,653, "
105,Dabhi Bharatsinhji Shankarji,PATAN,BJP,,Graduate,"Rs 4,73,73,221","Rs 56,13,860, "
106,Danve Raosaheb Dadarao,JALNA,BJP,2,Graduate,"Rs 22,95,57,992","Rs 24,00,000, "
107,Dayakar Pasnori,WARANGAL,TRS,,Graduate,"Rs 2,48,89,712","Rs 14,28,227, "
108,Dayanidhi Maran,CHENNAI CENTRAL,DMK,1,Graduate,"Rs 11,67,90,616","Rs 0, "
109,Dean Kuriakose,IDUKKI,INC,204,Post Graduate,"Rs 1,33,95,011","Rs 1,00,00,000, "
110,Debasree Chaudhuri,RAIGANJ,BJP,2,Post Graduate,"Rs 61,39,123","Rs 8,23,416, "
111,Deepak Adhikari,GHATAL,AITC,,Others,"Rs 31,73,20,579","Rs 78,79,681, "
